date,HUST
2017/7/1 1:00,19.49 
2017/7/1 2:00,19.46 
2017/7/1 3:00,16.36 
2017/7/1 4:00,18.28 
2017/7/1 5:00,20.42 
2017/7/1 6:00,20.29 
2017/7/1 7:00,21.33 
2017/7/1 8:00,24.21 
2017/7/1 9:00,23.30 
2017/7/1 10:00,20.82 
2017/7/1 11:00,15.68 
2017/7/1 12:00,12.37 
2017/7/1 13:00,7.86 
2017/7/1 14:00,5.42 
2017/7/1 15:00,5.25 
2017/7/1 16:00,8.64 
2017/7/1 17:00,11.13 
2017/7/1 18:00,18.04 
2017/7/1 19:00,21.40 
2017/7/1 20:00,25.51 
2017/7/1 21:00,36.33 
2017/7/1 22:00,35.94 
2017/7/1 23:00,40.67 
2017/7/2 0:00,49.21 
2017/7/2 1:00,36.02 
2017/7/2 2:00,38.44 
2017/7/2 3:00,26.87 
2017/7/2 4:00,19.21 
2017/7/2 5:00,17.83 
2017/7/2 6:00,16.11 
2017/7/2 7:00,15.99 
2017/7/2 8:00,15.88 
2017/7/2 9:00,14.21 
2017/7/2 10:00,13.94 
2017/7/2 11:00,13.17 
2017/7/2 12:00,19.43 
2017/7/2 13:00,26.48 
2017/7/2 14:00,16.19 
2017/7/2 15:00,12.96 
2017/7/2 16:00,9.51 
2017/7/2 17:00,9.94 
2017/7/2 18:00,20.16 
2017/7/2 19:00,21.54 
2017/7/2 20:00,17.91 
2017/7/2 21:00,31.29 
2017/7/2 22:00,32.18 
2017/7/2 23:00,29.54 
2017/7/3 0:00,34.08 
2017/7/3 1:00,34.46 
2017/7/3 2:00,32.62 
2017/7/3 3:00,33.84 
2017/7/3 4:00,32.96 
2017/7/3 5:00,35.14 
2017/7/3 6:00,35.55 
2017/7/3 7:00,40.21 
2017/7/3 8:00,46.86 
2017/7/3 9:00,47.62 
2017/7/3 10:00,27.82 
2017/7/3 11:00,10.96 
2017/7/3 12:00,14.47 
2017/7/3 13:00,11.64 
2017/7/3 14:00,10.65 
2017/7/3 15:00,9.63 
2017/7/3 16:00,7.54 
2017/7/3 17:00,6.37 
2017/7/3 18:00,6.17 
2017/7/3 19:00,13.33 
2017/7/3 20:00,20.64 
2017/7/3 21:00,37.07 
2017/7/3 22:00,45.31 
2017/7/3 23:00,38.89 
2017/7/4 0:00,52.41 
2017/7/4 1:00,22.11 
2017/7/4 2:00,41.71 
2017/7/4 3:00,24.74 
2017/7/4 4:00,14.76 
2017/7/4 5:00,15.30 
2017/7/4 6:00,15.48 
2017/7/4 7:00,19.70 
2017/7/4 8:00,18.27 
2017/7/4 9:00,16.60 
2017/7/4 10:00,15.94 
2017/7/4 11:00,17.02 
2017/7/4 12:00,20.45 
2017/7/4 13:00,19.41 
2017/7/4 14:00,16.10 
2017/7/4 15:00,12.73 
2017/7/4 16:00,16.52 
2017/7/4 17:00,13.74 
2017/7/4 18:00,19.01 
2017/7/4 19:00,23.92 
2017/7/4 20:00,24.94 
2017/7/4 21:00,15.65 
2017/7/4 22:00,19.61 
2017/7/4 23:00,20.63 
2017/7/5 0:00,14.67 
2017/7/5 1:00,8.52 
2017/7/5 2:00,10.61 
2017/7/5 3:00,14.25 
2017/7/5 4:00,15.44 
2017/7/5 5:00,17.80 
2017/7/5 6:00,20.84 
2017/7/5 7:00,22.22 
2017/7/5 8:00,14.77 
2017/7/5 9:00,11.51 
2017/7/5 10:00,10.32 
2017/7/5 11:00,8.10 
2017/7/5 12:00,7.66 
2017/7/5 13:00,9.88 
2017/7/5 14:00,7.37 
2017/7/5 15:00,6.95 
2017/7/5 16:00,6.80 
2017/7/5 17:00,7.95 
2017/7/5 18:00,12.02 
2017/7/5 19:00,10.88 
2017/7/5 20:00,10.27 
2017/7/5 21:00,9.98 
2017/7/5 22:00,9.41 
2017/7/5 23:00,10.04 
2017/7/6 0:00,13.22 
2017/7/6 1:00,13.49 
2017/7/6 2:00,13.07 
2017/7/6 3:00,18.06 
2017/7/6 4:00,16.07 
2017/7/6 5:00,15.83 
2017/7/6 6:00,28.34 
2017/7/6 7:00,30.59 
2017/7/6 8:00,23.78 
2017/7/6 9:00,15.40 
2017/7/6 10:00,11.95 
2017/7/6 11:00,10.69 
2017/7/6 12:00,12.14 
2017/7/6 13:00,11.66 
2017/7/6 14:00,8.81 
2017/7/6 15:00,5.26 
2017/7/6 16:00,7.36 
2017/7/6 17:00,11.84 
2017/7/6 18:00,11.02 
2017/7/6 19:00,13.75 
2017/7/6 20:00,12.82 
2017/7/6 21:00,11.24 
2017/7/6 22:00,11.62 
2017/7/6 23:00,11.62 
2017/7/7 0:00,11.97 
2017/7/7 1:00,10.76 
2017/7/7 2:00,11.52 
2017/7/7 3:00,12.06 
2017/7/7 4:00,17.44 
2017/7/7 5:00,27.05 
2017/7/7 6:00,29.19 
2017/7/7 7:00,26.76 
2017/7/7 8:00,14.56 
2017/7/7 9:00,9.28 
2017/7/7 10:00,8.71 
2017/7/7 11:00,10.94 
2017/7/7 12:00,13.73 
2017/7/7 13:00,12.50 
2017/7/7 14:00,12.77 
2017/7/7 15:00,15.86 
2017/7/7 16:00,17.32 
2017/7/7 17:00,21.11 
2017/7/7 18:00,28.95 
2017/7/7 19:00,26.56 
2017/7/7 20:00,30.11 
2017/7/7 21:00,14.87 
2017/7/7 22:00,4.37 
2017/7/7 23:00,4.88 
2017/7/8 0:00,7.97 
2017/7/8 1:00,4.40 
2017/7/8 2:00,11.32 
2017/7/8 3:00,9.56 
2017/7/8 4:00,12.27 
2017/7/8 5:00,9.88 
2017/7/8 6:00,9.42 
2017/7/8 7:00,13.07 
2017/7/8 8:00,10.42 
2017/7/8 9:00,12.76 
2017/7/8 10:00,13.03 
2017/7/8 11:00,15.93 
2017/7/8 12:00,19.57 
2017/7/8 13:00,16.06 
2017/7/8 14:00,14.99 
2017/7/8 15:00,12.06 
2017/7/8 16:00,11.29 
2017/7/8 17:00,10.20 
2017/7/8 18:00,12.50 
2017/7/8 19:00,6.53 
2017/7/8 20:00,5.32 
2017/7/8 21:00,6.38 
2017/7/8 22:00,7.87 
2017/7/8 23:00,8.76 
2017/7/9 0:00,12.68 
2017/7/9 1:00,25.97 
2017/7/9 2:00,13.98 
2017/7/9 3:00,19.09 
2017/7/9 4:00,18.70 
