date,TNUT
2017/10/12 13:00,11.96 
2017/10/12 14:00,16.06 
2017/10/12 18:00,12.67 
2017/10/12 19:00,12.93 
2017/10/12 20:00,15.65 
2017/10/12 21:00,17.88 
2017/10/12 22:00,14.46 
2017/10/12 23:00,19.88 
2017/10/13 0:00,21.40 
2017/10/13 1:00,23.87 
2017/10/13 2:00,48.72 
2017/10/13 3:00,43.88 
2017/10/13 4:00,21.41 
2017/10/13 5:00,39.55 
2017/10/13 6:00,46.45 
2017/10/13 7:00,46.75 
2017/10/13 8:00,41.30 
2017/10/13 9:00,14.21 
2017/10/13 10:00,11.10 
2017/10/13 11:00,11.71 
2017/10/13 12:00,12.62 
2017/10/13 13:00,5.71 
2017/10/13 14:00,7.27 
2017/10/13 15:00,11.58 
2017/10/13 16:00,13.75 
2017/10/13 17:00,22.15 
2017/10/13 18:00,23.56 
2017/10/13 19:00,28.20 
2017/10/13 20:00,38.21 
2017/10/13 21:00,43.74 
2017/10/13 22:00,41.36 
2017/10/13 23:00,24.53 
2017/10/14 0:00,15.09 
2017/10/14 1:00,34.97 
2017/10/14 2:00,25.91 
2017/10/14 3:00,14.44 
2017/10/14 4:00,23.80 
2017/10/14 5:00,14.98 
2017/10/14 6:00,15.00 
2017/10/14 7:00,22.43 
2017/10/14 8:00,25.64 
2017/10/14 9:00,13.67 
2017/10/14 10:00,11.58 
2017/10/14 11:00,10.57 
2017/10/14 12:00,10.62 
2017/10/14 13:00,9.07 
2017/10/14 14:00,9.17 
2017/10/14 15:00,9.82 
2017/10/14 16:00,10.13 
2017/10/14 17:00,27.95 
2017/10/14 18:00,25.56 
2017/10/14 19:00,46.30 
2017/10/14 20:00,46.67 
2017/10/14 21:00,70.28 
2017/10/14 22:00,49.82 
2017/10/14 23:00,43.43 
2017/10/15 0:00,38.76 
2017/10/15 1:00,26.59 
2017/10/15 2:00,16.85 
2017/10/15 3:00,16.61 
2017/10/15 4:00,29.33 
2017/10/15 5:00,14.20 
2017/10/15 6:00,11.15 
2017/10/15 7:00,17.18 
2017/10/15 8:00,17.24 
2017/10/15 9:00,12.25 
2017/10/15 10:00,12.28 
2017/10/15 11:00,8.50 
2017/10/15 12:00,7.30 
2017/10/15 13:00,9.40 
2017/10/15 14:00,9.40 
2017/10/15 15:00,8.71 
2017/10/15 16:00,13.81 
2017/10/15 17:00,26.15 
2017/10/15 18:00,33.10 
2017/10/15 19:00,24.46 
2017/10/15 20:00,17.56 
2017/10/15 21:00,26.64 
2017/10/15 22:00,14.38 
2017/10/15 23:00,12.02 
2017/10/16 0:00,11.27 
2017/10/16 1:00,11.96 
2017/10/16 2:00,12.60 
2017/10/16 3:00,11.82 
2017/10/16 4:00,12.38 
2017/10/16 5:00,18.77 
2017/10/16 6:00,15.55 
2017/10/16 7:00,26.81 
2017/10/16 8:00,23.32 
