date,VNUA
2017/10/13 10:00,33.07 
2017/10/13 11:00,23.29 
2017/10/13 12:00,24.70 
2017/10/13 13:00,17.09 
2017/10/13 14:00,19.97 
2017/10/13 15:00,14.94 
2017/10/13 16:00,16.89 
2017/10/13 17:00,15.80 
2017/10/13 18:00,15.93 
2017/10/13 19:00,21.67 
2017/10/13 20:00,35.22 
2017/10/13 21:00,27.92 
2017/10/13 22:00,25.82 
2017/10/13 23:00,28.51 
2017/10/14 0:00,35.91 
2017/10/14 1:00,44.39 
2017/10/14 2:00,35.65 
2017/10/14 3:00,34.36 
2017/10/14 4:00,25.13 
2017/10/14 5:00,14.19 
2017/10/14 6:00,15.45 
2017/10/14 7:00,26.35 
2017/10/14 8:00,21.27 
2017/10/14 9:00,11.48 
2017/10/14 10:00,9.59 
2017/10/14 11:00,11.31 
2017/10/14 12:00,12.94 
2017/10/14 13:00,10.89 
2017/10/14 14:00,10.98 
2017/10/14 15:00,10.89 
2017/10/14 16:00,11.50 
2017/10/14 17:00,13.39 
2017/10/14 18:00,21.29 
2017/10/14 19:00,48.16 
2017/10/14 20:00,51.84 
2017/10/14 21:00,70.57 
2017/10/14 22:00,79.65 
2017/10/14 23:00,48.50 
2017/10/15 0:00,82.11 
2017/10/15 1:00,32.28 
2017/10/15 2:00,32.30 
2017/10/15 3:00,36.87 
2017/10/15 4:00,21.44 
2017/10/15 5:00,13.86 
2017/10/15 6:00,13.66 
2017/10/15 7:00,16.12 
2017/10/15 8:00,15.98 
2017/10/15 9:00,12.17 
2017/10/15 10:00,10.44 
2017/10/15 11:00,7.74 
2017/10/15 12:00,39.84 
2017/10/15 13:00,16.12 
2017/10/15 14:00,7.72 
2017/10/15 15:00,7.32 
2017/10/15 16:00,6.95 
2017/10/15 17:00,7.83 
2017/10/15 18:00,14.41 
2017/10/15 19:00,32.70 
2017/10/15 20:00,24.36 
2017/10/15 21:00,11.10 
2017/10/15 22:00,18.39 
2017/10/15 23:00,21.39 
2017/10/16 0:00,19.09 
2017/10/16 1:00,20.15 
2017/10/16 2:00,18.55 
2017/10/16 3:00,19.98 
2017/10/16 4:00,31.27 
2017/10/16 5:00,88.82 
2017/10/16 6:00,13.65 
2017/10/16 7:00,16.25 
2017/10/16 8:00,19.33 
2017/10/16 9:00,14.67 
2017/10/16 10:00,17.03 
2017/10/16 11:00,15.24 
2017/10/16 12:00,13.66 
2017/10/16 13:00,16.04 
2017/10/16 14:00,9.80 
2017/10/16 15:00,7.77 
2017/10/16 16:00,7.30 
2017/10/16 17:00,7.57 
2017/10/16 18:00,8.54 
2017/10/16 19:00,6.28 
2017/10/16 20:00,5.80 
2017/10/16 21:00,3.69 
2017/10/16 22:00,3.93 
2017/10/16 23:00,4.25 
2017/10/17 0:00,8.09 
2017/10/17 1:00,8.09 
2017/10/17 2:00,25.07 
2017/10/17 3:00,28.11 
2017/10/17 4:00,16.38 
2017/10/17 5:00,8.00 
2017/10/17 6:00,5.24 
2017/10/17 7:00,3.92 
2017/10/17 8:00,4.47 
2017/10/17 9:00,3.15 
2017/10/17 10:00,3.24 
2017/10/17 11:00,4.65 
2017/10/17 12:00,9.55 
